label,seed,cross_cutting_exposure.camp_share,cross_cutting_exposure.stance_share,cross_cutting_exposure.algorithmic_share,cross_cutting_exposure.rank_penalty,cross_cutting_exposure.delta,cross_cutting_exposure.n,epistemic_alignment.quality_attention_rho,feed_narrowing.feed_dist,feed_narrowing.world_dist,feed_narrowing.bubble,feed_narrowing.topic_narrowing,feed_narrowing.n_users,hostility_given_contact.contact_rate,hostility_given_contact.hostility,hostility_given_contact.n,selection_filtering.echo_exposed,selection_filtering.echo_attended,selection_filtering.selection_shift,selection_filtering.delta,selection_filtering.n,voice_inequality.posting_gini,voice_inequality.attention_gini,voice_inequality.top1_share,voice_inequality.minority_camp_attention_share,affective_distance,animus_asymmetry,ident_animus_coupling,stance_centroid_distance,wall_s
exp01-world_a,0,0.2717996462154362,0.5100044048520582,0.37905255366395263,-0.10755960322353994,0.30196803102671854,53705,-0.007139347541224096,0.42838870618203234,0.6412611264438526,-0.2128724202618202,-0.4470752022034916,1500,0.43702667012787666,0.6681903876449472,88601,0.4899955951479418,0.4899955951479418,0.0,0.30196803102671854,53705,0.6966562872057881,0.5743584782065247,0.06029277321926389,0.4912698502274241,0.016630775983269525,0.016630775983269525,-0.0112410886742187,1.1908951806149144,6.8691565990448
exp01-world_a,1,0.27487212396897,0.5043684996272834,0.3723793180631202,-0.11125547991070536,0.30378264742411704,52981,0.00219247277088702,0.42904224344997927,0.6295657656727442,-0.20052352222276504,-0.428711449475357,1498,0.4442781750474058,0.6674208726506055,87542,0.49563150037271664,0.49563150037271664,0.0,0.30378264742411704,52981,0.6786608433932018,0.5708356236084322,0.0616047154508693,0.48064928834159604,0.0010157821222103226,0.0010157821222103226,-0.013774841986808279,1.181838801208314,6.592781066894531
exp01-world_a,2,0.2760520946551494,0.4760225573838879,0.3773069036226931,-0.10977796121975802,0.3361088539553821,52443,0.018645240778295952,0.4301514581065508,0.632300572540445,-0.20214911443389413,-0.4317543670543251,1499,0.4436378186806905,0.6699394407937121,87470,0.5239774426161121,0.5239774426161121,0.0,0.3361088539553821,52443,0.6929212355212354,0.5766970225969236,0.06506230707671201,0.4612209900537327,0.07070570781946213,0.07070570781946213,0.0035183799908274117,1.1765708738102396,6.857782602310181
exp01-world_a,3,0.28283756223932977,0.5364781255392603,0.3764953237149279,-0.10738507164897726,0.2873385968280666,54427,0.001155546151551171,0.43056971302624875,0.6275749063640357,-0.19700519333778688,-0.451201238104024,1499,0.44339748285276687,0.6605091236765037,90102,0.46352187446073967,0.46352187446073967,0.0,0.2873385968280666,54427,0.6847993835238012,0.5815555627527552,0.06898847972298063,0.5243945750371801,0.09813482610768343,-0.09813482610768343,-0.023689834129531996,1.170089355900008,7.028597593307495
exp01-world_a,4,0.2766391576032501,0.4659867999225158,0.37339635381498987,-0.1050465178636909,0.3432782057236572,54891,-0.0038238056432861145,0.4303370052994071,0.6375113210257831,-0.20717431572637593,-0.4153376699357456,1498,0.44134932599244064,0.6662541458343646,91542,0.5340132000774842,0.5340132000774842,0.0,0.3432782057236572,54891,0.6696439492417208,0.5757111760202696,0.06451683380306307,0.4763059579209543,0.0858579104332487,-0.0858579104332487,0.033050149034437266,1.1782085273158014,6.8383588790893555
exp01-world_a,5,0.28313455714659586,0.5447319258399677,0.37751937984496126,-0.10657658529428962,0.2873400739671784,53494,0.005496745674100911,0.4306003593846676,0.6245989629817225,-0.19399860359705492,-0.45632303926878803,1497,0.45021001542740674,0.6655827913956979,88803,0.45526807416003234,0.45526807416003234,0.0,0.2873400739671784,53494,0.693970956857074,0.5924810869157642,0.06839859013772057,0.5139240791414704,0.011074671880775717,-0.011074671880775717,-0.0013496946877027181,1.1659039577832353,6.954105377197266
exp01-world_a,6,0.28059673307525257,0.49433594227543154,0.38160395286963134,-0.11015355706563992,0.3329087372733891,52955,-0.0023911464442054995,0.4366696242893458,0.6349465082090555,-0.19827688391970968,-0.4199638145126894,1499,0.4474794708029197,0.6658595641646489,87680,0.5056640577245685,0.5056640577245685,0.0,0.3329087372733891,52955,0.6677875950054288,0.5700834802154181,0.06523722627737226,0.5047217153284671,0.05344139140547436,-0.05344139140547436,-0.001283246175823409,1.1772396535666554,7.059033393859863
exp01-world_a,7,0.2662856722835774,0.47401375189329753,0.3755014113801812,-0.11141031079611607,0.33200695111510126,54419,-0.0006280906773862404,0.420072313673358,0.6262662776848223,-0.2061939640114643,-0.43660493235477427,1499,0.42957926999164114,0.6674190535491905,89725,0.5259862481067025,0.5259862481067025,0.0,0.33200695111510126,54419,0.682811829348983,0.5900645476540517,0.06912231819448314,0.5140261911395932,0.07940069405904024,0.07940069405904024,-0.05475267675474812,1.1665156976449074,7.132392406463623
exp01-world_b,0,0.32084123972169515,0.5682272462649065,0.5143552311435523,-0.0020256315222544896,0.30196803102671854,50592,0.012276078089425069,0.48826302020914975,0.6422050898431708,-0.15394206963402102,-0.10806694975320652,1499,0.16176030336293784,0.33821714990746454,40084,0.43177275373509344,0.46921362620851853,0.03744087247342509,0.30196803102671854,50592,0.692392350325842,0.5143596350240678,0.05575790839237601,0.49528490170641654,0.017720976634563946,0.017720976634563946,-0.010393292564151481,1.1884877472455389,5.144685506820679
exp01-world_b,1,0.32860697020570806,0.5686996669149713,0.5100154083204931,0.0014136629030823133,0.30378264742411704,49439,0.0014305880898609529,0.49108500971255975,0.6283302486575505,-0.13724523894499066,-0.10466794579711092,1498,0.1568847912450341,0.35961140308966394,40023,0.43130033308502874,0.46799754368777846,0.03669721060274972,0.30378264742411704,49439,0.6869797252234227,0.490756463515841,0.05034605102066312,0.4704794743022762,0.0020318685351336904,0.0020318685351336904,-0.01334873054843093,1.17971865623031,5.162558555603027
