label,seed,cross_cutting_exposure.camp_share,cross_cutting_exposure.stance_share,cross_cutting_exposure.algorithmic_share,cross_cutting_exposure.rank_penalty,cross_cutting_exposure.delta,cross_cutting_exposure.n,epistemic_alignment.quality_attention_rho,feed_narrowing.feed_dist,feed_narrowing.world_dist,feed_narrowing.bubble,feed_narrowing.topic_narrowing,feed_narrowing.n_users,hostility_given_contact.contact_rate,hostility_given_contact.hostility,hostility_given_contact.n,selection_filtering.echo_exposed,selection_filtering.echo_attended,selection_filtering.selection_shift,selection_filtering.delta,selection_filtering.n,voice_inequality.posting_gini,voice_inequality.attention_gini,voice_inequality.top1_share,voice_inequality.minority_camp_attention_share,affective_distance,animus_asymmetry,ident_animus_coupling,stance_centroid_distance,wall_s
exp01-world_a,0,0.24929218288789382,0.5016717132498901,NaN,-0.09742768601300261,0.30196803102671854,49801,0.003072837576426311,0.4146717116624375,0.6417870198050247,-0.22711530814258726,-0.4209782753408373,1500,0.40936003318625785,0.6682020574236143,79551,0.4983282867501099,0.4983282867501099,0.0,0.30196803102671854,49801,0.6936763447710931,0.5812718494055223,0.06537944211889228,0.49918919938152884,0.017175118992509508,0.017175118992509508,-0.010993376325554256,1.1909088913416075,6.402743339538574
exp01-world_a,1,0.2603471568346502,0.5093365762379617,NaN,-0.09861168725313227,0.30378264742411704,48854,0.009815701822404224,0.42344786172022886,0.6338781048366317,-0.2104302431164028,-0.4227289103902778,1498,0.4232084938171498,0.6699697631949226,78928,0.4906634237620383,0.4906634237620383,0.0,0.30378264742411704,48854,0.6799323104987133,0.575391894900129,0.06286742347455909,0.46992195418609367,0.00024254546210357794,-0.00024254546210357794,-0.013189704278718547,1.1818631979084446,6.501067161560059
exp01-world_a,2,0.2665197784321397,0.4802999267967306,NaN,-0.09686934478403064,0.3361088539553821,48563,0.006344378482492076,0.42670363885411033,0.63228202753202,-0.20557838867790976,-0.41766168791657976,1498,0.4237565239263032,0.6633921946876391,79515,0.5197000732032694,0.5197000732032694,0.0,0.3361088539553821,48563,0.6854074640660356,0.5820716843984531,0.06672954788404703,0.473885430421933,0.07141827798136985,0.07141827798136985,0.0036486629633816323,1.176428473488016,6.149819850921631
exp01-world_a,3,0.26466605169672824,0.537046316493267,NaN,-0.09213010735504823,0.2873385968280666,50951,0.0005950608037952622,0.4248520487214818,0.6336964801427674,-0.2088444314212856,-0.44835011632459687,1500,0.4261410386718939,0.6621897893122834,82644,0.46295368350673305,0.46295368350673305,0.0,0.2873385968280666,50951,0.6840025846471957,0.5823517895111604,0.06766371424422826,0.5285804172111708,0.09794193024294687,-0.09794193024294687,-0.02356933244269971,1.1701157919567082,6.269776105880737
exp01-world_b,0,0.319102156662869,0.5653725474187654,NaN,0.0032282987703221577,0.30196803102671854,50031,0.00797959033799365,0.4851337617883881,0.6429828868378391,-0.15784912504945106,-0.11860937876215916,1499,0.1578504001387478,0.3574007220216607,40361,0.4346274525812346,0.4721178904048708,0.0374904378236362,0.30196803102671854,50031,0.6913148215808063,0.5190376069565871,0.05505314536309804,0.4962711528455687,0.01783558231064647,0.01783558231064647,-0.010096284774298869,1.1885125493246473,5.726003408432007
exp01-world_b,1,0.3276710064062823,0.5699702405866273,NaN,0.015735075918163366,0.30378264742411704,48390,-0.0005478148867736062,0.4900635979272837,0.6315851029992712,-0.14152150507198724,-0.11835257916164399,1497,0.15851399389175386,0.3498104864181933,39946,0.43002975941337274,0.46547950056712956,0.03544974115375682,0.30378264742411704,48390,0.6843529411764706,0.4967822678041147,0.05272117358433886,0.4618234616732589,0.0017127318804616366,0.0017127318804616366,-0.01345956570385098,1.17957062410726,5.358605623245239
exp01-world_b,2,0.3257803090615878,0.5368856565246258,NaN,-0.0006856106332253642,0.3361088539553821,48987,-0.012007839215711719,0.48783566961000296,0.6350162475947692,-0.1471805779847662,-0.11046433157985924,1498,0.16178775468931694,0.363125,39558,0.46311434347537417,0.5022294861873757,0.03911514271200156,0.3361088539553821,48987,0.6866545661883492,0.5122052939544661,0.05402194246422974,0.47219272966277365,0.0721288623203267,0.0721288623203267,0.0033468330291334817,1.174332255595398,5.3071160316467285
exp01-world_b,3,0.32851630177980784,0.6000220143693341,NaN,-0.004043227151093898,0.2873385968280666,50792,0.021121760154526843,0.4904046990757609,0.6336446214232672,-0.14323992234750624,-0.12023426560795736,1500,0.16126330311391407,0.3614421020470516,40592,0.3999779856306659,0.43693908800461106,0.036961102373945176,0.2873385968280666,50792,0.6824258415699757,0.5097825774329099,0.05286756011036658,0.517983839180134,0.09933890925010744,-0.09933890925010744,-0.023712882156552702,1.168111634643373,5.330319166183472
exp01-world_a,0,0.25222228821444836,0.5002118658896305,0.4002267573696145,-0.10905683282680195,0.30196803102671854,50511,-0.0021419561701762403,0.41536422568491654,0.6404674258117107,-0.22510320012679422,-0.4366208552814843,1499,0.41284369855271885,0.6630062792012618,81394,0.4997881341103695,0.4997881341103695,0.0,0.30196803102671854,50511,0.6914498440669755,0.580531468624665,0.0653242253728776,0.4991031279946925,0.01737177595134598,0.01737177595134598,-0.01067124111373832,1.1907766209386688,6.153949975967407
exp01-world_a,1,0.2640318291618456,0.5153655428461197,0.4134078212290503,-0.10117694257195076,0.30378264742411704,49263,-0.0026785020640079436,0.42553912485402917,0.6356432518318724,-0.21010412697784336,-0.400954638647796,1498,0.42258173491986034,0.668887309764908,79923,0.48463445715388037,0.48463445715388037,0.0,0.30378264742411704,49263,0.6851488519398258,0.5666215590539644,0.06242258173491986,0.4730428036985599,0.0011582209268928957,0.0011582209268928957,-0.013158009140653917,1.1817238475157101,6.0404322147369385
exp01-world_a,2,0.2668030977890133,0.4705582306266971,0.40860849056603776,-0.10466745781441111,0.3361088539553821,49842,-0.0011900442893942101,0.4232185254563786,0.6373493974798656,-0.21413087202348716,-0.4059977537193977,1497,0.4248464365887954,0.6640343746370921,81074,0.5294417693733029,0.5294417693733029,0.0,0.3361088539553821,49842,0.6869142748526895,0.578863900015928,0.06734588154032119,0.471815871919481,0.07065256223229677,0.07065256223229677,0.0035026088041870546,1.1765582528465657,6.721057891845703
exp01-world_a,3,0.26808702116836874,0.5397630780784664,0.41099773242630383,-0.09924841835952841,0.2873385968280666,51114,0.00047060775990467966,0.42552667153562007,0.6343700011159703,-0.2088433295803503,-0.4269793088285532,1500,0.4310872251346585,0.6601920133574509,83359,0.4602369219215337,0.4602369219215337,0.0,0.2873385968280666,51114,0.6862674584461329,0.5815412021648476,0.06794707230173107,0.534351419762713,0.0977937299104829,-0.0977937299104829,-0.02334434525955473,1.1700495487287874,6.3308844566345215
exp01-world_b,0,0.32084123972169515,0.5682272462649065,0.5143552311435523,-0.0020256315222544896,0.30196803102671854,50592,0.012276078089425069,0.48826302020914975,0.6422050898431708,-0.15394206963402102,-0.10806694975320652,1499,0.16176030336293784,0.33821714990746454,40084,0.43177275373509344,0.46921362620851853,0.03744087247342509,0.30196803102671854,50592,0.692392350325842,0.5143596350240678,0.05575790839237601,0.49528490170641654,0.017720976634563946,0.017720976634563946,-0.010393292564151481,1.1884877472455389,0.20041942596435547
exp01-world_b,1,0.32860697020570806,0.5686996669149713,0.5100154083204931,0.0014136629030823133,0.30378264742411704,49439,0.0014305880898609529,0.49108500971255975,0.6283302486575505,-0.13724523894499066,-0.10466794579711092,1498,0.1568847912450341,0.35961140308966394,40023,0.43130033308502874,0.46799754368777846,0.03669721060274972,0.30378264742411704,49439,0.6869797252234227,0.490756463515841,0.05034605102066312,0.4704794743022762,0.0020318685351336904,0.0020318685351336904,-0.01334873054843093,1.17971865623031,0.22831511497497559
exp01-world_b,2,0.33182798733896496,0.5393035564238312,0.4887585532746823,-0.0025661618443994505,0.3361088539553821,49601,-0.0006034582058831434,0.49282904299741687,0.6356754621067038,-0.1428464191092869,-0.09767911651446948,1498,0.16370385334074036,0.36094400740397964,39602,0.4606964435761688,0.49963195664285914,0.03893551306669035,0.3361088539553821,49601,0.6848901726804937,0.5054127928743314,0.05416393111459017,0.480102015049745,0.0720758868822367,0.0720758868822367,0.003347023401557534,1.1743297646853734,0.18180537223815918
exp01-world_b,3,0.3367223618331447,0.6039797223929446,0.5283372365339578,0.0000800044020167201,0.2873385968280666,52129,0.016496072004928367,0.4971205980200403,0.6354959259267823,-0.13837532790674203,-0.1040945974543439,1499,0.1657367580189259,0.34569182856295416,40685,0.3960202776070554,0.43211961193536813,0.03609933432831275,0.2873385968280666,52129,0.6841070895093646,0.5088199006889135,0.05429519478923436,0.5235344721641882,0.09940440742044633,-0.09940440742044633,-0.023924858414570333,1.1679672790387308,0.17923498153686523
exp01-world_a,0,0.25846716179958784,0.5042023531717297,0.41067285382830626,-0.10501259201105687,0.30196803102671854,51434,-0.014401312787296849,0.42104155679356714,0.6382854875171524,-0.21724393072358525,-0.43123901923274177,1498,0.41789171313394646,0.6609288354898336,82854,0.49579764682827027,0.49579764682827027,0.0,0.30196803102671854,51434,0.6912613369879702,0.5743789781499182,0.0628575566659425,0.48733917493422163,0.016518399889762253,0.016518399889762253,-0.010669558276942834,1.190841869644229,6.177138566970825
exp01-world_a,1,0.2688614816005142,0.5157799111180146,0.40833540064500123,-0.10271177232248704,0.30378264742411704,49784,-0.024226362394726864,0.4293128421641531,0.6306426422143852,-0.20132980005023213,-0.40000048538810407,1499,0.43071389379991465,0.665449398443029,82015,0.48422008888198537,0.48422008888198537,0.0,0.30378264742411704,49784,0.6818140701858638,0.56281030034444,0.06204962506858502,0.4735231360117052,0.000906573625726348,0.000906573625726348,-0.013351669753957018,1.1817713543768322,6.4274208545684814
