arm,scenario,lhs_index,targeting_mode,mean_peak_gap,mean_rmse,std_rmse_across_seeds,min_r2,max_r2
composition,cross_cut,0,camp_pair,-0.03649050625268537,0.00017683086566208756,0.00007782979280096922,0.9621389407296381,0.9975620686500002
composition,cross_cut,4,camp_pair,-0.03705402164457241,0.00012675273209298448,0.000019422550423455144,0.9955984450019002,0.998171358857263
composition,cross_cut,4,distance,-0.03706728908534771,0.00011663447353168477,0.000019897132423148692,0.9942785440894097,0.998128164878225
engagement,consolidated_two_camp,1,distance,0.1038698404750372,0.00030906995585590135,0.000043660114889424457,0.9975006609642645,0.9989815316827969
engagement,consolidated_two_camp,5,distance,0.056724677077171305,0.00019253090831191898,0.00004816620289371414,0.9951134790148706,0.998763568560884
engagement,cross_cut,0,distance,0.047332952400190066,0.00016596119858443425,0.00005228336974489039,0.9923907101980771,0.9989259915580532
