arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
composition,3,camp_pair,-0.00860956594568818,-1.7582743016967243e-7,-4.119803782987932e-7,0.004424966992757073,0.000048326129992198874,0.00006055666634287218,-0.000020436197690563117,0.0,7.783318616831625e-6,-0.0028037587354278175,-0.002554972656426081,0.002866192026303722,1.0026133481486474,1.0027178929552727,1.0026133481486474,affective,0.5,0.5,0.5,0.5
exposure,4,camp_pair,0.0005628200543197348,1.2163559342130812e-8,2.8510209934640333e-8,0.0043715906075220134,-0.0008362244490863675,-0.000862488931499789,0.0006835685091493174,0.0,0.00019687394606017483,-0.0018452511652381344,-0.0016804847012840346,0.0018224856047702879,1.002134519759756,1.0013774242738287,NaN,affective,0.5,0.5,0.5,0.5
engagement,4,camp_pair,0.0016131567947836878,3.20458649314386e-8,7.349233689219535e-8,0.0043715906075220134,-0.0009273150491205351,-0.000869636443557734,0.0008963732096071268,0.0,-0.00028246361905683026,-0.0018452511652381344,-0.0016804847012840346,0.0018224856047702879,1.0022221674650167,1.0013774242738287,NaN,affective,0.5,0.5,0.5,0.5
composition,4,camp_pair,-0.008636932758131821,-1.7098435567342707e-7,-3.9148457792275503e-7,0.0043715906075220134,-0.001152599366621261,-0.001065604075999481,0.0011112801092606317,0.0,0.00027143393956867434,-0.0018452511652381344,-0.0016804847012840346,0.0018224856047702879,1.0023414287394519,1.0013774242738287,1.0023414287394519,affective,0.5,0.5,0.5,0.5
exposure,0,camp_pair,0.0014163689144388592,2.678813221188242e-8,5.589017892979477e-8,0.01752907361788436,-0.002416306657141501,-0.002469032961496403,0.0021385968016715724,0.0,-2.5269138958020076e-6,-0.023823294033262988,-0.022865437634633425,0.02267225139794183,1.0224807043095228,1.020155292320112,NaN,affective,0.9,0.9,0.5,0.5
engagement,0,camp_pair,0.005234544231783378,9.387464772481443e-8,1.9566195311865503e-7,0.01752907361788436,0.00006239775654548474,2.5002919450470285e-7,8.5202312139869e-6,0.0,0.00010852294165837606,-0.023823294033262988,-0.022865437634633425,0.02267225139794183,1.0204441007029537,1.020155292320112,NaN,affective,0.9,0.9,0.5,0.5
composition,0,camp_pair,-0.011115232451409884,-1.9945149655313901e-7,-4.145463935930289e-7,0.01752907361788436,0.0003511585393486012,0.00034267977114037576,-0.00030077404238496724,0.0,3.248792636599551e-6,-0.023823294033262988,-0.022865437634633425,0.02267225139794183,1.0201953355762774,1.020155292320112,1.0201953355762774,affective,0.9,0.9,0.5,0.5
exposure,1,camp_pair,0.0001936446748538323,3.546151131793219e-9,7.290289694067928e-9,0.017406634667463727,-0.002570660152227497,-0.0025901186972818145,0.0022936842913626534,0.0,-9.020127826359081e-6,-0.024781063723083946,-0.023269760649584876,0.023026794995992625,1.0230858588966072,1.0204781075374452,NaN,affective,0.9,0.9,0.5,0.5
engagement,1,camp_pair,0.005031411192751634,8.841928849907975e-8,1.8071948539031046e-7,0.017406634667463727,-0.0003558458027729458,-0.0004327246977542422,0.0001168834836563562,0.0,0.0011646073965557169,-0.024781063723083946,-0.023269760649584876,0.023026794995992625,1.020984928363287,1.0204781075374452,NaN,affective,0.9,0.9,0.5,0.5
composition,1,camp_pair,-0.01094777847789441,-1.9185760186979794e-7,-3.9482755618488206e-7,0.017406634667463727,0.00010624601787796381,-4.9885852358572125e-6,-0.00028086935972867696,0.0,0.00011294005884186081,-0.024781063723083946,-0.023269760649584876,0.023026794995992625,1.0207068474943097,1.0204781075374452,1.0207068474943097,affective,0.9,0.9,0.5,0.5
exposure,2,camp_pair,-1.691105129264514e-6,-3.4492639497114184e-11,-7.167218178701056e-11,0.020857717870534476,-0.00008839922182147728,-0.00002166820859109478,0.00014413709455981388,0.0,0.00002336974112705087,-0.020938448221424356,-0.020397848393741782,0.019780178606476784,1.0202804796549199,1.0203466032210313,1.0202804796549199,affective,0.9,0.9,0.5,0.5
engagement,2,camp_pair,0.004821718920729801,8.881903440473411e-8,1.7827844859608817e-7,0.020857717870534476,-0.003411972058752478,-0.003238669991112133,0.00327436619653583,0.0,-0.0005067152772599628,-0.020938448221424356,-0.020397848393741782,0.019780178606476784,1.0231775198330944,1.0203466032210313,NaN,affective,0.9,0.9,0.5,0.5
composition,2,camp_pair,-0.011841558357149395,-2.2203060688784422e-7,-4.484759262668306e-7,0.020857717870534476,-0.0016506293641832294,-0.0015225399766386621,0.001648509415435498,0.0,-0.00037316839996687917,-0.020938448221424356,-0.020397848393741782,0.019780178606476784,1.0217570298840695,1.0203466032210313,1.0217570298840695,affective,0.9,0.9,0.5,0.5
exposure,3,camp_pair,0.0009607841250889315,1.8995336597250525e-8,4.030134752889813e-8,0.017351227410538073,-0.00288331967425794,-0.0027353710188974326,0.00286086363270625,0.0,-0.00008461080292597456,-0.025666196672530874,-0.025048890155977596,0.023696352480993423,1.027543094592843,1.0251501143150505,NaN,affective,0.9,0.9,0.5,0.5
engagement,3,camp_pair,0.0035099879466899964,6.772508435159273e-8,1.4662828752151376e-7,0.017351227410538073,0.0008105546416594077,0.0008497305898144611,-0.0006111857732386365,0.0,-0.00021359148877516526,-0.025666196672530874,-0.025048890155977596,0.023696352480993423,1.0243752298705786,1.0251501143150505,NaN,affective,0.9,0.9,0.5,0.5
composition,3,camp_pair,-0.010521423784349615,-1.983228489849509e-7,-4.235166358471044e-7,0.017351227410538073,-0.0006748828096955033,-0.0006927893786227504,0.0006365147853016513,0.0,0.00001874679577324595,-0.025666196672530874,-0.025048890155977596,0.023696352480993423,1.0258623838107208,1.0251501143150505,1.0258623838107208,affective,0.9,0.9,0.5,0.5
exposure,4,camp_pair,0.0016403614833895297,2.8794436936341977e-8,5.987813408978024e-8,0.01939019419977095,-0.003882725869620327,-0.0038492357797302243,0.0037643638974164673,0.0,-0.00009687413838218792,-0.027316169973855834,-0.02657194998324734,0.024703733892518166,1.0271941302322896,1.0236971095110339,NaN,affective,0.9,0.9,0.5,0.5
engagement,4,camp_pair,0.005068301603529779,8.633656315633993e-8,1.7965692827371519e-7,0.01939019419977095,-0.0003440869291076072,-0.0003334425665981987,0.00046403581307388406,0.0,-9.69240538117866e-6,-0.027316169973855834,-0.02657194998324734,0.024703733892518166,1.0239529317534815,1.0236971095110339,NaN,affective,0.9,0.9,0.5,0.5
composition,4,camp_pair,-0.011483314072922024,-1.9310072766735091e-7,-4.030788751069544e-7,0.01939019419977095,-0.0001727833411232331,-0.0002306747161172941,0.00016493144849145588,0.0,7.324785580367643e-7,-0.027316169973855834,-0.02657194998324734,0.024703733892518166,1.0238104057761643,1.0236971095110339,1.0238104057761643,affective,0.9,0.9,0.5,0.5
exposure,0,camp_pair,-0.000028006489559251335,-8.85300760526358e-10,NaN,0.002677916290645288,NaN,NaN,NaN,0.0,-6.339990746340174e-6,NaN,NaN,NaN,0.9975063073492273,0.9973170166663686,0.9975063073492273,ideological,0.1,0.5,0.1,0.5
engagement,0,camp_pair,0.0,0.0,NaN,0.002677916290645288,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9973170166663686,0.9973170166663686,NaN,ideological,0.1,0.5,0.1,0.5
composition,0,camp_pair,-0.005235374867623932,-1.7012331408409475e-7,NaN,0.002677916290645288,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9973170166663686,0.9973170166663686,0.9973170166663686,ideological,0.1,0.5,0.1,0.5
exposure,1,camp_pair,-0.00019566806512816282,-6.174831643781962e-9,NaN,0.0023429841167502685,NaN,NaN,NaN,0.0,-0.000011545542735511005,NaN,NaN,NaN,0.9975206478868207,0.9976138986073034,0.9975206478868207,ideological,0.1,0.5,0.1,0.5
engagement,1,camp_pair,0.0,0.0,NaN,0.0023429841167502685,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9976138986073034,0.9976138986073034,NaN,ideological,0.1,0.5,0.1,0.5
composition,1,camp_pair,-0.00522881166138911,-1.6952443461902186e-7,NaN,0.0023429841167502685,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9976138986073034,0.9976138986073034,0.9976138986073034,ideological,0.1,0.5,0.1,0.5
exposure,2,camp_pair,0.00003239357224926742,1.0189862299234798e-9,NaN,0.0033674661451902344,NaN,NaN,NaN,0.0,9.034713483430101e-6,NaN,NaN,NaN,0.9983907096409239,0.9982103636794311,NaN,ideological,0.1,0.5,0.1,0.5
engagement,2,camp_pair,0.0,0.0,NaN,0.0033674661451902344,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9982103636794311,0.9982103636794311,NaN,ideological,0.1,0.5,0.1,0.5
composition,2,camp_pair,-0.005246304715088135,-1.7212285810656611e-7,NaN,0.0033674661451902344,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9982103636794311,0.9982103636794311,0.9982103636794311,ideological,0.1,0.5,0.1,0.5
exposure,3,camp_pair,0.00001209980657668197,3.9241767453726313e-10,NaN,0.002801349672028719,NaN,NaN,NaN,0.0,-0.0003059425031056301,NaN,NaN,NaN,0.9986259859666057,0.9988064745255448,NaN,ideological,0.1,0.5,0.1,0.5
engagement,3,camp_pair,0.0,0.0,NaN,0.002801349672028719,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9988064745255448,0.9988064745255448,NaN,ideological,0.1,0.5,0.1,0.5
composition,3,camp_pair,-0.005087635173643856,-1.701265732701507e-7,NaN,0.002801349672028719,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9988064745255448,0.9988064745255448,0.9988064745255448,ideological,0.1,0.5,0.1,0.5
exposure,4,camp_pair,0.00002787816803639931,8.500218933560786e-10,NaN,0.003295477063011143,NaN,NaN,NaN,0.0,0.000016184172133185126,NaN,NaN,NaN,0.9975132898252828,0.9972918611256686,NaN,ideological,0.1,0.5,0.1,0.5
