arm,scenario,lhs_index,targeting_mode,mean_peak_gap,mean_rmse,std_rmse_across_seeds
engagement,consolidated_two_camp,5,distance,0.014151640759202343,0.0001756812587641779,0.000056118431653352236
engagement,cross_cut,0,distance,0.012421080863077093,0.00016580074147749623,0.00007149581683585145
engagement,consolidated_two_camp,1,distance,0.023485264241652537,0.00025016310273882176,0.00005538825040107315
composition,cross_cut,4,camp_pair,-0.00966971142993347,0.00010979962155171621,0.00005263848998970885
composition,cross_cut,4,distance,-0.010260051610217147,0.00010589244414836146,0.00002690339435846605
composition,cross_cut,0,camp_pair,-0.010411947585290848,0.00012899174868064942,0.000055221200404606015
