arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
composition,1,distance,0.008467241510726087,1.0782448949070506e-7,2.3118748152153138e-7,0.01754850389863849,-0.006415028118748452,-0.006638506801199366,0.0059864676988429025,0.0,-0.0004629448183516918,-0.04101809466794985,-0.039541946089780976,0.039704344453102676,1.0265916989417065,1.0234277669526477,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
exposure,0,camp_pair,0.0008376162937240306,1.903240840090958e-8,4.637707179691216e-8,0.004311197796542876,-0.0018976658463208482,-0.0018941399155805827,0.001856614721451196,0.0,-0.0005086609902068343,-0.004009418556248309,-0.0035838695815957476,0.004082634032674241,1.0035165002937223,1.0023755159654655,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,0,camp_pair,0.0007948675406197481,1.809354534656047e-8,4.752855421070007e-8,0.004311197796542876,-0.0007145512097819027,-0.000695948362282857,0.000729931659996073,0.0,-0.0003802235072208615,-0.004009418556248309,-0.0035838695815957476,0.004082634032674241,1.002721316347935,1.0023755159654655,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,0,camp_pair,-0.00839635525706961,-1.9113032681697268e-7,-5.020542488082761e-7,0.004311197796542876,-0.0007060030950120045,-0.0006874626390736042,0.000721697808574933,0.0,-0.0003800411532533937,-0.004009418556248309,-0.0035838695815957476,0.004082634032674241,1.0027164232024535,1.0023755159654655,1.0027164232024535,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
exposure,1,camp_pair,0.0008283007906857431,1.8753838628064917e-8,4.3693664118043107e-8,0.004034364875439955,-0.0012749684243887711,-0.001192656738380496,0.0010961362733147581,0.0,-5.3103500430168316e-6,-0.0047553974002266216,-0.0041108088310673856,0.004987850453287184,1.0034099827582348,1.0027283507428897,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,1,camp_pair,0.0008220668334211201,1.836077174683671e-8,4.5280464523333524e-8,0.004034364875439955,-0.0012881019853836955,-0.0012548880918740986,0.0011798041171124582,0.0,8.850745928143389e-6,-0.0047553974002266216,-0.0041108088310673856,0.004987850453287184,1.0034992355868197,1.0027283507428897,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,1,camp_pair,-0.008483519267397543,-1.8895935645486332e-7,-4.7031374140134957e-7,0.004034364875439955,-0.0009660688336962948,-0.0008353887971839884,0.0008935568922064062,0.0,-0.000022451591125745296,-0.0047553974002266216,-0.0041108088310673856,0.004987850453287184,1.0031531311202528,1.0027283507428897,1.0031531311202528,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
exposure,0,distance,0.0008376162937240306,1.903240840090958e-8,4.637707179691216e-8,0.004311197796542876,-0.0018976658463208482,-0.0018941399155805827,0.001856614721451196,0.0,-0.0005086609902068343,-0.004009418556248309,-0.0035838695815957476,0.004082634032674241,1.0035165002937223,1.0023755159654655,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,0,distance,0.00658141443549809,9.747211142456554e-8,2.712754806272656e-7,0.004311197796542876,-0.008043968824109848,-0.00810142653441563,0.007669385228973446,0.0,-0.00046476164474943543,-0.004009418556248309,-0.0035838695815957476,0.004082634032674241,1.0070666260544374,1.0023755159654655,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,0,distance,-0.009018424488305143,-1.3334355253064544e-7,-3.708233753414944e-7,0.004311197796542876,-0.007937760486048766,-0.007975315446469395,0.007576247343232462,0.0,-0.0005282423908534797,-0.004009418556248309,-0.0035838695815957476,0.004082634032674241,1.0070011416176898,1.0023755159654655,1.0070011416176898,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
