arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,scenario,lhs_index,affective,ideological,structural,delta_aff_plateau_mean
composition,0,distance,60,120,180,-0.01093017765733495,-0.004151340138838444,0.620194632787822,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.013954448595647428
composition,1,distance,60,120,180,-0.010361635510860667,-0.003827546475097865,0.630604022783278,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.013954448595647428
composition,2,distance,60,120,180,-0.011005227753801972,-0.0038256942595049637,0.6523748217583863,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.013954448595647428
composition,3,distance,60,120,180,-0.009833861977427194,-0.003571473892314714,0.6368187899613873,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.013954448595647428
composition,4,distance,60,120,180,-0.010070061168583111,-0.003988164574653341,0.6039582572650362,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.013954448595647428
composition,0,camp_pair,60,120,180,-0.010706440039168097,-0.004288461809418331,0.599450256693209,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.013498965568307764
composition,1,camp_pair,60,120,180,-0.010435746975110627,-0.00371052542039374,0.6444408407713043,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.013498965568307764
composition,2,camp_pair,60,120,180,-0.010970519136052292,-0.004374068929247965,0.6012887927177929,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.013498965568307764
composition,3,camp_pair,60,120,180,-0.010389551691594834,-0.004208857584166115,0.5948951688097295,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.013498965568307764
composition,4,camp_pair,60,120,180,-0.01062378504633199,-0.004449675980195744,0.581159072704313,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.013498965568307764
composition,0,distance,60,120,180,-0.010571805671586998,-0.004146734089427562,0.6077553619272051,cross_cut,3,0.4812896391054057,0.7162086776726564,0.07694771984195076,-0.013431628154967512
composition,1,distance,60,120,180,-0.010263867801722948,-0.003995404541868752,0.6107310987386195,cross_cut,3,0.4812896391054057,0.7162086776726564,0.07694771984195076,-0.013431628154967512
composition,2,distance,60,120,180,-0.010493718308801414,-0.00415918940845772,0.6036496038807069,cross_cut,3,0.4812896391054057,0.7162086776726564,0.07694771984195076,-0.013431628154967512
composition,3,distance,60,120,180,-0.009666588900059447,-0.003610649848272973,0.6264814935648325,cross_cut,3,0.4812896391054057,0.7162086776726564,0.07694771984195076,-0.013431628154967512
composition,4,distance,60,120,180,-0.010170770990966083,-0.0038475210159566453,0.6217080278993496,cross_cut,3,0.4812896391054057,0.7162086776726564,0.07694771984195076,-0.013431628154967512
