arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,scenario,lhs_index,affective,ideological,structural,delta_aff_plateau_mean
composition,0,distance,60,120,180,-0.01426621933973049,-0.005284095935675026,0.6296078302287724,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,1,distance,60,120,180,-0.014548349362109247,-0.005755205201865454,0.6044083724814364,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,2,distance,60,120,180,-0.0145178508715611,-0.0064078446856690174,0.5586230536214356,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,3,distance,60,120,180,-0.013711598490780519,-0.005685434824206581,0.5853557972814486,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,4,distance,60,120,180,-0.01416437861997788,-0.005498470726409854,0.6118099583518164,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,0,camp_pair,60,120,180,-0.014545618124309323,-0.005290271663518364,0.636297913343606,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,1,camp_pair,60,120,180,-0.015040464131237608,-0.005058711111485925,0.6636599065464033,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,2,camp_pair,60,120,180,-0.013585993605940816,-0.005082990561998901,0.6258653794908136,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,3,camp_pair,60,120,180,-0.013661804757752583,-0.005518195451359009,0.5960859089112929,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,4,camp_pair,60,120,180,-0.013255521334118114,-0.0048587308179905975,0.6334560749802567,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,0,camp_pair,60,120,180,-0.013377888957818884,-0.005173333776023359,0.6132922173046043,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,1,camp_pair,60,120,180,-0.013809706027438695,-0.005530699289725272,0.5995063704660875,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,2,camp_pair,60,120,180,-0.013597203536634295,-0.0058017172826601016,0.5733154051104102,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,3,camp_pair,60,120,180,-0.013538578074511642,-0.005531346715928143,0.5914381343826858,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,4,camp_pair,60,120,180,-0.013655077563477391,-0.005533453418692824,0.5947695358763176,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
