arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,point,window,affective,ideological,structural
engagement,0,distance,60,120,180,0.024564220837806516,0.009108477027288231,0.6291973970015171,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,1,distance,60,120,180,0.02440355470152733,0.00895060095486988,0.6332255253653807,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,2,distance,60,120,180,0.02445525440989993,0.008525222074394101,0.651395077250027,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,3,distance,60,120,180,0.023664717960194537,0.00878438196442266,0.6287983664458409,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,4,distance,60,120,180,0.02291880350890274,0.007622081445566753,0.667431092438749,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,0,distance,60,120,180,0.00492601482914079,0.001889606029001012,0.6164026917209662,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,1,distance,60,120,180,0.006182623514412455,0.002365244776058706,0.6174367126600819,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,2,distance,60,120,180,0.00497598080923467,0.0015669763887462551,0.6850919549693232,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,3,distance,60,120,180,0.006220223638194966,0.002771434673153994,0.5544477442682059,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,4,distance,60,120,180,0.003909577134677988,0.0011029246048863683,0.7178915859970082,consolidated_two_camp_LHS1,60,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,0,distance,60,120,180,0.012086050270218696,0.004493831987553598,0.6281802667471212,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,1,distance,60,120,180,0.011649942455330464,0.004240508587362024,0.636006048646037,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,2,distance,60,120,180,0.012781688874863528,0.00456250631522348,0.6430435476961025,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,3,distance,60,120,180,0.013203991736752796,0.005236122874990201,0.603443944877998,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,4,distance,60,120,180,0.013389588779344708,0.004679679995115871,0.6504986021426644,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,0,distance,60,120,180,-0.009105194995796095,-0.004348409929803676,0.5224253921183067,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,1,distance,60,120,180,-0.009239602640377376,-0.0033941621499451458,0.6326506363907315,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,2,distance,60,120,180,-0.00895245527116817,-0.0037050921024548433,0.5861367646943427,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,3,distance,60,120,180,-0.007441544343913975,-0.0029427876884660087,0.604546105960821,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,4,distance,60,120,180,-0.007990490607742373,-0.002783401645295225,0.6516607324964186,cross_cut_LHS0,60,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,0,distance,60,120,180,0.007679851047491804,0.002858830731546247,0.627749195411814,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,1,distance,60,120,180,0.008040497223212428,0.0026529428872841265,0.6700523843693098,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
