arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
engagement,3,camp_pair,0.00022821722932747646,5.05162426295408e-9,6.0035047437122234e-9,0.000587271090078556,-0.0013772545298047353,-0.0013329820463697322,0.0013471911333509442,0.0,-0.000012840597015929822,-0.0025836564430084964,-0.0022685718109025344,0.00271734993280112,1.0028027086021,1.0018347537197385,NaN,affective,0.1,0.1,0.7,0.7
composition,3,camp_pair,-0.003325408914628153,-7.321463924764758e-8,-8.719410862206075e-8,0.000587271090078556,-0.0009838068291358158,-0.0009737005364848124,0.0009345608514515582,0.0,0.00004010818063159699,-0.0025836564430084964,-0.0022685718109025344,0.00271734993280112,1.0024929178922142,1.0018347537197385,1.0024929178922142,affective,0.1,0.1,0.7,0.7
exposure,4,camp_pair,0.00029221449516658726,6.494954439034191e-9,7.662431696207974e-9,0.0005890971575921999,-0.0012111712244667196,-0.0012249705509683449,0.001112589183675442,0.0,-0.00005206079366279481,-0.0017123646885339218,-0.0015388115019093459,0.001786832805728818,1.0018881949719094,1.0009588909486227,NaN,affective,0.1,0.1,0.7,0.7
engagement,4,camp_pair,0.00026532960341379974,5.600743095660061e-9,6.596792805096833e-9,0.0005890971575921999,-0.0011239190535308856,-0.0011000736299226158,0.0010764802195847814,0.0,-0.00004921083937812348,-0.0017123646885339218,-0.0015388115019093459,0.001786832805728818,1.0018410674266383,1.0009588909486227,NaN,affective,0.1,0.1,0.7,0.7
composition,4,camp_pair,-0.003169498058745196,-6.687692399183837e-8,-7.903393907551045e-8,0.0005890971575921999,-0.0009367979883097557,-0.0009838588154483497,0.0008751113919049436,0.0,-0.00020167806340633254,-0.0017123646885339218,-0.0015388115019093459,0.001786832805728818,1.0017264155189132,1.0009588909486227,1.0017264155189132,affective,0.1,0.1,0.7,0.7
exposure,0,camp_pair,0.0015156283623842803,3.375263589845627e-8,3.9893355506008644e-8,0.003206855232684269,-0.0012860741218671638,-0.0012540091513482932,0.0011920393028948366,0.0,-0.0002531027663253971,-0.003858354217100399,-0.0034512353608146273,0.003989386596092983,1.003298925538109,1.0025022497880907,NaN,affective,0.5,0.5,0.7,0.7
engagement,0,camp_pair,0.0017864511891096946,3.8793728319428766e-8,4.604492987034627e-8,0.003206855232684269,-0.0005037909689287875,-0.00043099618313611945,0.0004750096534300507,0.0,-0.00015653925964607268,-0.003858354217100399,-0.0034512353608146273,0.003989386596092983,1.0026907685243824,1.0025022497880907,NaN,affective,0.5,0.5,0.7,0.7
composition,0,camp_pair,-0.00849908941141242,-1.8491959294646373e-7,-2.187780429214482e-7,0.003206855232684269,-0.0007906342054241882,-0.0007606405563734676,0.0007521789107976986,0.0,-0.00006974350029571169,-0.003858354217100399,-0.0034512353608146273,0.003989386596092983,1.0029181485798158,1.0025022497880907,1.0029181485798158,affective,0.5,0.5,0.7,0.7
exposure,1,camp_pair,0.0013911852410340986,3.125837507379002e-8,3.7262226892569934e-8,0.003079346069486122,-0.00189169780929532,-0.0019148832973632972,0.0018024086055694064,0.0,-2.5617254254539645e-6,-0.00370213071698175,-0.003003897363811915,0.0039111126810571105,1.0034679447682613,1.002121597304174,NaN,affective,0.5,0.5,0.7,0.7
engagement,1,camp_pair,0.002006867429585779,4.318351364417574e-8,5.132784545859943e-8,0.003079346069486122,-0.0008570382852022998,-0.0009464449494099494,0.0007628434485927064,0.0,-6.755488032382517e-6,-0.00370213071698175,-0.003003897363811915,0.0039111126810571105,1.0027745707943587,1.002121597304174,NaN,affective,0.5,0.5,0.7,0.7
