arm,seed,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,swept_dial,level,affective,ideological,structural
exposure,3,0.0004349235326671641,9.80043112954987e-9,1.1758821549927383e-8,-0.001283012348172735,-0.0012898997954792883,0.0011985521031078407,0.0,0.00006266105984368414,-0.0020785785594460023,-0.0018688782275050567,0.0021612158452334472,affective,0.5,0.5,0.5,0.5
engagement,3,0.00227271346082214,4.655101103646184e-8,5.536047209271284e-8,-0.0009003553941462805,-0.0008548916770923052,0.0009268764306824416,0.0,0.000023381418699168488,-0.0020785785594460023,-0.0018688782275050567,0.0021612158452334472,affective,0.5,0.5,0.5,0.5
composition,3,-0.011187063637431938,-2.2858732401781646e-7,-2.718539923071599e-7,-0.001115873003605987,-0.0011222951029865797,0.001076109031049655,0.0,0.00006801449967105966,-0.0020785785594460023,-0.0018688782275050567,0.0021612158452334472,affective,0.5,0.5,0.5,0.5
exposure,4,0.0010386284671077828,2.2420474195526882e-8,2.6781199193125233e-8,-0.0010811247115285192,-0.001059268259468676,0.000981565605696835,0.0,-0.0000776072405883621,-0.0015053580164611647,-0.0013744892547287377,0.0014955849726161533,affective,0.5,0.5,0.5,0.5
engagement,4,0.0018803710545618468,3.713579647599184e-8,4.395752517852694e-8,-0.0014196059609725778,-0.0013763750736957457,0.0013724948307960736,0.0,-0.00025261525004487834,-0.0015053580164611647,-0.0013744892547287377,0.0014955849726161533,affective,0.5,0.5,0.5,0.5
composition,4,-0.011098238204972244,-2.1919847929079503e-7,-2.592198394210362e-7,-0.0014315985789715186,-0.0014376512325953565,0.0012697074346689286,0.0,-0.00021701039798170674,-0.0015053580164611647,-0.0013744892547287377,0.0014955849726161533,affective,0.5,0.5,0.5,0.5
exposure,0,0.002394312825964473,4.5226913977417325e-8,5.2490744639024705e-8,-0.0043637689179362935,-0.004285475709275174,0.0039918485304780635,0.0,-0.0001537660685067832,-0.023246211192911422,-0.022264010701243318,0.02218089038801668,affective,0.9,0.9,0.5,0.5
engagement,0,0.00743039194611983,1.3277566824130355e-7,1.5417990052745896e-7,-0.001147263133180157,-0.0011427655596585248,0.0011479584210521733,0.0,-0.0005249727478772101,-0.023246211192911422,-0.022264010701243318,0.02218089038801668,affective,0.9,0.9,0.5,0.5
composition,0,-0.013441220332767845,-2.393720674734265e-7,-2.7735587331863823e-7,0.00018517343139235615,0.0000708839114997549,-0.00021026297012451817,0.0,-0.000010581187418728932,-0.023246211192911422,-0.022264010701243318,0.02218089038801668,affective,0.9,0.9,0.5,0.5
exposure,1,0.0012484443309572768,2.282556597417089e-8,2.6668752930965262e-8,-0.0022247723540172876,-0.0022350316851114972,0.0021090640634065135,0.0,0.00014308137392417264,-0.02537144880458801,-0.023912683248426565,0.023461571620858237,affective,0.9,0.9,0.5,0.5
