arm,seed,delta_aff_plateau,delta_aff_per_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,swept_dial,level,affective,ideological,structural
engagement,3,0.003729833436308061,8.50821989212113e-8,-0.0004699847450516364,-0.00045805662271427433,0.00039623613455068603,0.0,ideological,0.5,0.7,0.5,0.7
composition,3,-0.009845249308208626,-2.2606253147364298e-7,0.00018946608514358847,0.0002158973930362698,-0.0001311516726139961,0.0,ideological,0.5,0.7,0.5,0.7
exposure,4,0.003453484710725263,7.597924693035142e-8,-0.0014716953511178,-0.0015249720248908345,0.0013082226094439904,0.0,ideological,0.5,0.7,0.5,0.7
engagement,4,0.004287856808966373,9.341532448021553e-8,-0.0008103113011567256,-0.0007773587483542645,0.0006864971368598406,0.0,ideological,0.5,0.7,0.5,0.7
composition,4,-0.008640005502570158,-1.8769563570060301e-7,-0.0006838927319779463,-0.0007775513516109353,0.00047801405268330056,0.0,ideological,0.5,0.7,0.5,0.7
exposure,0,0.004156542891444515,8.68370637079454e-8,-0.004707682142907973,-0.004643774641892516,0.004578063972221064,0.0,ideological,0.9,0.7,0.9,0.7
engagement,0,0.003929642498722741,8.210703089683954e-8,-0.0015204478087975457,-0.0014961376571445053,0.00152723253891374,0.0,ideological,0.9,0.7,0.9,0.7
composition,0,-0.012315596264366624,-2.5597232066939545e-7,-0.001985535081213458,-0.0019198655085780544,0.001972746725480765,0.0,ideological,0.9,0.7,0.9,0.7
exposure,1,0.003432155058821662,7.099149999631122e-8,-0.0035455446595746894,-0.0035764488835043733,0.0034385674146961264,0.0,ideological,0.9,0.7,0.9,0.7
engagement,1,0.0037329070720688584,7.648616068166906e-8,-0.001289224143786986,-0.0013322168467110387,0.0012338431611926704,0.0,ideological,0.9,0.7,0.9,0.7
composition,1,-0.012524768209837722,-2.533275663889833e-7,-0.0007969238685822822,-0.0008224834738064998,0.0007619939265605669,0.0,ideological,0.9,0.7,0.9,0.7
exposure,2,0.0033991727972182417,7.101879943209246e-8,-0.004046706320947965,-0.0039861735763733665,0.003914514431606113,0.0,ideological,0.9,0.7,0.9,0.7
engagement,2,0.004307747039847376,8.911535281754641e-8,-0.0013881085128345672,-0.0013615355585465862,0.0013337212984310745,0.0,ideological,0.9,0.7,0.9,0.7
composition,2,-0.012020069028225278,-2.4949290191010994e-7,-0.0007471353470605586,-0.0007145562510546925,0.000668960348590205,0.0,ideological,0.9,0.7,0.9,0.7
exposure,3,0.0033158123850349774,6.895444475710644e-8,-0.004540674035570555,-0.004475817047402821,0.004350194195228717,0.0,ideological,0.9,0.7,0.9,0.7
