swept_dial,level,seed,arm,d_cross,bimodality0,total_contact,cross_contact,frac
affective,0.1,0,none,1.9774890146776407,0.5846407528077358,43062.0,17680.0,0.41057080488597836
affective,0.1,0,engagement,1.9774890146776407,0.5846407528077358,48733.0,21688.0,0.44503724375679726
affective,0.1,0,composition,1.9774890146776407,0.5846407528077358,48733.0,21688.0,0.44503724375679726
affective,0.1,0,exposure,1.9774890146776407,0.5846407528077358,44992.0,19334.0,0.42972083926031296
affective,0.1,1,none,1.9425242064668282,0.5983624940620509,43398.0,18262.0,0.42080280197244113
affective,0.1,1,engagement,1.9425242064668282,0.5983624940620509,49498.0,22439.0,0.453331447735262
affective,0.1,1,composition,1.9425242064668282,0.5983624940620509,49567.0,22419.0,0.45229689107672444
affective,0.1,1,exposure,1.9425242064668282,0.5983624940620509,45031.0,19920.0,0.4423619284492905
affective,0.1,2,none,1.9191846063368678,0.5946485072484402,42642.0,18112.0,0.4247455560245767
affective,0.1,2,engagement,1.9191846063368678,0.5946485072484402,48955.0,22390.0,0.4573587988969462
affective,0.1,2,composition,1.9191846063368678,0.5946485072484402,48955.0,22390.0,0.4573587988969462
affective,0.1,2,exposure,1.9191846063368678,0.5946485072484402,44852.0,20082.0,0.4477392312494426
affective,0.1,3,none,1.9520514197053198,0.569012104505469,42286.0,16748.0,0.39606489145343615
affective,0.1,3,engagement,1.9520514197053198,0.569012104505469,48338.0,20705.0,0.428337953576896
affective,0.1,3,composition,1.9520514197053198,0.569012104505469,48326.0,20693.0,0.42819600215205067
affective,0.1,3,exposure,1.9520514197053198,0.569012104505469,44132.0,18193.0,0.41224055107405055
affective,0.1,4,none,1.975646987699492,0.5815765457438563,44645.0,18069.0,0.4047261731436891
affective,0.1,4,engagement,1.975646987699492,0.5815765457438563,50557.0,22352.0,0.4421148406748818
affective,0.1,4,composition,1.975646987699492,0.5815765457438563,50607.0,22388.0,0.44238939277175093
affective,0.1,4,exposure,1.975646987699492,0.5815765457438563,46110.0,19562.0,0.42424636738234656
affective,0.5,0,none,1.9780015723196953,0.5846570223753383,43509.0,17802.0,0.40915672619458043
affective,0.5,0,engagement,1.9780015723196953,0.5846570223753383,49450.0,21672.0,0.43826086956521737
affective,0.5,0,composition,1.9780015723196953,0.5846570223753383,49569.0,21746.0,0.43870160785975104
affective,0.5,0,exposure,1.9780015723196953,0.5846570223753383,45867.0,19805.0,0.43179192011685963
affective,0.5,1,none,1.9431444820546693,0.5985586135682078,43720.0,18633.0,0.4261893870082342
affective,0.5,1,engagement,1.9431444820546693,0.5985586135682078,49940.0,22978.0,0.46011213456147376
affective,0.5,1,composition,1.9431444820546693,0.5985586135682078,49596.0,22594.0,0.4555609323332527
affective,0.5,1,exposure,1.9431444820546693,0.5985586135682078,45547.0,20215.0,0.4438272553625925
affective,0.5,2,none,1.919407751774918,0.5943648974076601,43291.0,18543.0,0.4283338338222725
affective,0.5,2,engagement,1.919407751774918,0.5943648974076601,48997.0,22553.0,0.46029348735636877
affective,0.5,2,composition,1.919407751774918,0.5943648974076601,49394.0,22934.0,0.46430740575778434
affective,0.5,2,exposure,1.919407751774918,0.5943648974076601,45672.0,20555.0,0.45005692765808375
affective,0.5,3,none,1.9523315406225974,0.5690505034407314,42464.0,16965.0,0.3995148831951771
affective,0.5,3,engagement,1.9523315406225974,0.5690505034407314,48557.0,20802.0,0.42840373169676876
affective,0.5,3,composition,1.9523315406225974,0.5690505034407314,48966.0,20898.0,0.42678593309643426
affective,0.5,3,exposure,1.9523315406225974,0.5690505034407314,44683.0,18839.0,0.4216144842557572
affective,0.5,4,none,1.9790143967205998,0.5816836697924834,44941.0,18531.0,0.41234062437417945
affective,0.5,4,engagement,1.9790143967205998,0.5816836697924834,50339.0,21950.0,0.43604362422773596
affective,0.5,4,composition,1.9790143967205998,0.5816836697924834,50513.0,22062.0,0.4367588541563558
affective,0.5,4,exposure,1.9790143967205998,0.5816836697924834,46271.0,19741.0,0.4266387153940913
affective,0.9,0,none,1.9848411901205676,0.5843752850197941,50223.0,23281.0,0.463552555602015
affective,0.9,0,engagement,1.9848411901205676,0.5843752850197941,55761.0,26753.0,0.4797797743942899
affective,0.9,0,composition,1.9848411901205676,0.5843752850197941,55729.0,26813.0,0.4811319061888783
affective,0.9,0,exposure,1.9848411901205676,0.5843752850197941,52873.0,25342.0,0.4792994534072211
affective,0.9,1,none,1.9490822421148666,0.5993673993830363,51228.0,24062.0,0.4697040680877645
affective,0.9,1,engagement,1.9490822421148666,0.5993673993830363,56904.0,27841.0,0.48926261774216223
affective,0.9,1,composition,1.9490822421148666,0.5993673993830363,57062.0,27728.0,0.48592758753636395
affective,0.9,1,exposure,1.9490822421148666,0.5993673993830363,54607.0,26562.0,0.48642115479700404
affective,0.9,2,none,1.926908174998096,0.588219692048871,47527.0,22044.0,0.4638205651524397
affective,0.9,2,engagement,1.926908174998096,0.588219692048871,54287.0,27046.0,0.49820398990550224
affective,0.9,2,composition,1.926908174998096,0.588219692048871,53333.0,26404.0,0.49507809423808896
affective,0.9,2,exposure,1.926908174998096,0.588219692048871,49028.0,23595.0,0.4812556090397324
affective,0.9,3,none,1.9620232688622425,0.5672261717622558,47738.0,21345.0,0.4471280740709707
affective,0.9,3,engagement,1.9620232688622425,0.5672261717622558,51827.0,23938.0,0.4618828024002933
affective,0.9,3,composition,1.9620232688622425,0.5672261717622558,53052.0,24843.0,0.46827640805247683
affective,0.9,3,exposure,1.9620232688622425,0.5672261717622558,50580.0,23840.0,0.47133254250691975
affective,0.9,4,none,1.9832455959306667,0.5820057815910791,53213.0,24590.0,0.46210512468757636
affective,0.9,4,engagement,1.9832455959306667,0.5820057815910791,58704.0,28211.0,0.4805635050422458
affective,0.9,4,composition,1.9832455959306667,0.5820057815910791,59468.0,28489.0,0.479064370754019
affective,0.9,4,exposure,1.9832455959306667,0.5820057815910791,56968.0,27395.0,0.48088400505546974
ideological,0.1,0,none,NaN,0.35489190335964826,NaN,NaN,NaN
ideological,0.1,0,engagement,NaN,0.35489190335964826,NaN,NaN,NaN
ideological,0.1,0,composition,NaN,0.35489190335964826,NaN,NaN,NaN
ideological,0.1,0,exposure,NaN,0.35489190335964826,NaN,NaN,NaN
ideological,0.1,1,none,NaN,0.3625571257812178,NaN,NaN,NaN
ideological,0.1,1,engagement,NaN,0.3625571257812178,NaN,NaN,NaN
ideological,0.1,1,composition,NaN,0.3625571257812178,NaN,NaN,NaN
ideological,0.1,1,exposure,NaN,0.3625571257812178,NaN,NaN,NaN
