arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,scenario,lhs_index,affective,ideological,structural,delta_aff_plateau_mean
composition,0,distance,60,1060,1120,-0.03863140455928149,-0.030120143240846442,0.22031974802713072,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,1,distance,60,1060,1120,-0.037600422583797144,-0.029568722391643876,0.21360664695333254,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,2,distance,60,1060,1120,-0.03844606674701301,-0.030195267610941823,0.2146071063748599,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,3,distance,60,1060,1120,-0.03498151466135058,-0.027702553683148334,0.208080211753793,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,4,distance,60,1060,1120,-0.03673832683457645,-0.02869745202399354,0.21886883544775926,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01923329423859399
composition,0,camp_pair,60,1060,1120,-0.03641525236910503,-0.029465588269399934,0.1908448698710995,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,1,camp_pair,60,1060,1120,-0.04047754037323381,-0.03209238189500163,0.2071558301446832,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,2,camp_pair,60,1060,1120,-0.03311776439698044,-0.026716425546779776,0.19329018630207773,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,3,camp_pair,60,1060,1120,-0.034343872932498964,-0.027457423938687553,0.20051463058189034,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,4,camp_pair,60,1060,1120,-0.039231527121425636,-0.030901254989120108,0.21233616796314025,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,-0.018683377805221446
composition,0,camp_pair,60,1060,1120,-0.0378823275975666,-0.029261341904151195,0.22757275595624127,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,1,camp_pair,60,1060,1120,-0.03737712161929396,-0.02930233626535328,0.21603550525336612,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,2,camp_pair,60,1060,1120,-0.03843138422364922,-0.0300351248873727,0.21847402860680154,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,3,camp_pair,60,1060,1120,-0.036070742807373435,-0.028123147204763388,0.22033357186604519,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
composition,4,camp_pair,60,1060,1120,-0.03664176206815051,-0.028586802282446477,0.21983003357541875,cross_cut,4,0.5440782898978583,0.8640995441207491,0.2978034381535035,-0.01823745932411991
