arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
exposure,0,camp_pair,0.0012557673558002413,2.87308354488936e-8,3.3965361781895524e-8,-0.0013051889367905337,-0.0013004201586094871,0.0012413984467237078,0.0,-0.0003517455125186669,-0.004273116877746658,-0.0038399094914079016,0.004380196831430859,1.0033239375257474,1.0025069556746344,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,0,camp_pair,0.0008351702913889092,1.8905948871282608e-8,2.2613118116289203e-8,-0.0009920520361444357,-0.0009625475104943471,0.0010014019663780243,0.0,0.00012326339336615755,-0.004273116877746658,-0.0038399094914079016,0.004380196831430859,1.003023675900404,1.0025069556746344,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,0,camp_pair,-0.012042649859201005,-2.7198432276805124e-7,-3.2456473316087226e-7,-0.000754175578878389,-0.0007357835683491766,0.0007499290998558995,0.0,-0.00029554792843757005,-0.004273116877746658,-0.0038399094914079016,0.004380196831430859,1.0028953336728172,1.0025069556746344,1.0028953336728172,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
exposure,1,camp_pair,0.0008563828568646237,1.9323153881283958e-8,2.3021044539371604e-8,-0.001307574001666912,-0.0013306292644433438,0.0011975047945359434,0.0,-0.00007744615007290734,-0.004572707328006953,-0.003902376953628604,0.004791768263217869,1.0033939180994687,1.0025912342214258,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,1,camp_pair,0.001501184688905699,3.341014619660151e-8,4.024839639942353e-8,-0.0009169794272408105,-0.0008541363050559546,0.0008745851050203117,0.0,-0.00007544877104487258,-0.004572707328006953,-0.003902376953628604,0.004791768263217869,1.00307609259892,1.0025912342214258,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,1,camp_pair,-0.012284394630083906,-2.727562198606489e-7,-3.2822279718074936e-7,-0.0007590562380588306,-0.0006368725095448752,0.0007177944212770019,0.0,-0.00004712299301846273,-0.004572707328006953,-0.003902376953628604,0.004791768263217869,1.0029466200172055,1.0025912342214258,1.0029466200172055,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
exposure,0,distance,0.0012557673558002413,2.87308354488936e-8,3.3965361781895524e-8,-0.0013051889367905337,-0.0013004201586094871,0.0012413984467237078,0.0,-0.0003517455125186669,-0.004273116877746658,-0.0038399094914079016,0.004380196831430859,1.0033239375257474,1.0025069556746344,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,0,distance,0.009433484759766575,1.3880528471449596e-7,1.637274547402082e-7,-0.008185826123284324,-0.008238194932924764,0.007766237480018364,0.0,-4.9485929547593566e-6,-0.004273116877746658,-0.0038399094914079016,0.004380196831430859,1.007364269403253,1.0025069556746344,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,0,distance,-0.012197826702106118,-1.802865396864542e-7,-2.126538825332308e-7,-0.00832003948185947,-0.008412413962638433,0.007841439384818669,0.0,-0.000026059720407332898,-0.004273116877746658,-0.0038399094914079016,0.004380196831430859,1.0074508729845995,1.0025069556746344,1.0074508729845995,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
exposure,1,distance,0.0008563828568646237,1.9323153881283958e-8,2.3021044539371604e-8,-0.001307574001666912,-0.0013306292644433438,0.0011975047945359434,0.0,-0.00007744615007290734,-0.004572707328006953,-0.003902376953628604,0.004791768263217869,1.0033939180994687,1.0025912342214258,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,1,distance,0.009403409751490122,1.3835054366010654e-7,1.6385958059299355e-7,-0.008117199857969326,-0.00812823052580027,0.0075279851795550775,0.0,-0.00008333048738792814,-0.004572707328006953,-0.003902376953628604,0.004791768263217869,1.007504938246006,1.0025912342214258,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,1,distance,-0.012467325289329034,-1.8267678597657123e-7,-2.167627319237957e-7,-0.008187605360877034,-0.008456507380323015,0.007583368277092641,0.0,-0.00006397115057134306,-0.004572707328006953,-0.003902376953628604,0.004791768263217869,1.0076656826835653,1.0025912342214258,1.0076656826835653,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
